"company","total_Layoffs"
"OneFootball",212.0
"SecureWorks",212.0
"Twiga",211.0
"AdRoll",210.0
"Oda",210.0
"Waymo",209.0
"Jellysmack",208.0
"Britishvolt",206.0
"Meow Wolf",201.0
"BlackBuck",200.0
"Booksy",200.0
"CarDekho",200.0
"Daniel Wellington",200.0
"DigitalOcean",200.0
"Electronic Arts",200.0
"EverBridge",200.0
"Fareportal",200.0
"Flymya",200.0
"GoPro",200.0
"Hirect",200.0
"Jam City",200.0
"JD.ID",200.0
"LendingTree",200.0
"MediBuddy",200.0
"Merative",200.0
"MX",200.0
"MyGate",200.0
"Ninjacart",200.0
"Oracle",200.0
"PayFit",200.0
"Planetly",200.0
"Roku",200.0
"Shop101",200.0
"Smava",200.0
"Software AG",200.0
"StubHub",200.0
"Synamedia",200.0
"VTEX",200.0
"Wayflyer",200.0
"Yellow.ai",200.0
"Zenius",200.0
"Zume",200.0
"Zymergen",200.0
"MasterClass",199.0
"Brex",198.0
"Glints",198.0
"Rover",194.0
"CityMall",191.0
"ConsenSys",191.0
"2TM",190.0
"Clear",190.0
"Dock",190.0
"Integral Ad Science",190.0
"McMakler",190.0
"Asana",180.0
"BigCommerce",180.0
"Bitso",180.0
"BuzzFeed",180.0
"Furlenco",180.0
"Konfio",180.0
"Momentive",180.0
"Orchard",180.0
"Postmates",180.0
"Procore",180.0
"Xiaohongshu",180.0
"Zscaler",177.0
"Alice",176.0
"Thinkific",176.0
"Restaurant365",175.0
"Weedmaps",175.0
"Pipedrive",174.0
"Sonos",174.0
"Socure",173.0
"Crejo.Fun",170.0
"Favo",170.0
"Kitty Hawk",170.0
"Notarize",170.0
"OwnBackup",170.0
"PolicyGenius",170.0
"Vox Media",169.0
"Gemini",168.0
"Cameo",167.0
"MaxMilhas",167.0
"Appgate",164.0
"Fundbox",164.0
"Swyftx",164.0
"Rad Power Bikes",163.0
"Carta",161.0
"Buser",160.0
"Hubilo",160.0
"Kayak / OpenTable",160.0
"Metromile",160.0
"Rubius",160.0
"SIRCLO",160.0
"Unico",160.0
"Homie",159.0
"Wealthsimple",159.0
"Happy Money",158.0
"Calibrate",156.0
"Chime",156.0
"Oportun",155.0
"Salesloft",155.0
