"company","total_Layoffs"
"Ike",10.0
"PerkSpot",10.0
"Polarr",10.0
"Swyft",10.0
"Tapps Games",10.0
"Tripbam",10.0
"Welkin Health",10.0
"Xerpa",10.0
"&Open",9.0
"BitOasis",9.0
"Incredible Health",9.0
"Iris Nova",9.0
"N26",9.0
"CodeCombat",8.0
"Docly",8.0
"HopSkipDrive",8.0
"Kinde",8.0
"LoopMe",8.0
"Voyage SMS",8.0
"Coding Dojo",7.0
"Expert360",7.0
"Atsu",6.0
"Dark",6.0
"Instamojo",6.0
"Jiobit",6.0
"Panda Squad",6.0
"Simon Data",6.0
"Avantage Entertainment",5.0
"Aya",5.0
"DialSource",5.0
"Geekwire",5.0
"Havenly",5.0
"Synergysuite",5.0
"Woven",5.0
"Flytedesk",4.0
"Spyce",4.0
"TutorMundi",4.0
"Branch",3.0
"Included Health",0.0
"2U",0.0
"5B Solar",0.0
"80 Acres Farms",0.0
"98point6",0.0
"ActiveCampaign",0.0
"Air",0.0
"Airlift",0.0
"Airy Rooms",0.0
"Aiven",0.0
"Amber Group",0.0
"Apollo",0.0
"Apollo Insurance",0.0
"Arch Oncology",0.0
"Assure",0.0
"Atlanta Tech Village",0.0
"Attentive",0.0
"Aura Financial",0.0
"Automatic",0.0
"Automox",0.0
"Avast",0.0
"Awok",0.0
"Bakkt",0.0
"Bally's Interactive",0.0
"Baraja",0.0
"Beamery",0.0
"Benitago Group",0.0
"Berkeley Lights",0.0
"BigBear.ai",0.0
"Bilibili",0.0
"Bitfront",0.0
"BitGo",0.0
"Bitrise",0.0
"Bizpay",0.0
"Blue Apron",0.0
"BM Technologies",0.0
"Boosted Commerce",0.0
"Brightline",0.0
"Brodmann17",0.0
"Butterfly Network",0.0
"Buzzer",0.0
"Cabin",0.0
"Camp K12",0.0
"Capsule",0.0
"Carsome",0.0
"Casavo",0.0
"Castlight Health",0.0
"Cedar",0.0
"Change Invest",0.0
"Change.org",0.0
"CircleCI",0.0
"Circulo Health",0.0
"Citrix",0.0
"CloudFactory",0.0
"Clutter",0.0
"CoachHub",0.0
"Codexis",0.0
"Conga",0.0
"Core Scientific",0.0
"Corvus Insurance",0.0
"Creditas",0.0
"Cyteir Therapeutics",0.0
"D2L",0.0
"DailyPay",0.0
"Dance",0.0
"Daraz",0.0
"Datera",0.0
"Deep Instinct",0.0
"Degreed",0.0
"DeHaat",0.0
"Desktop Metal",0.0
"Devo",0.0
"Digital Surge",0.0
"Dispatch",0.0
"Domino Data Lab",0.0
"Domio",0.0
"DriveWealth",0.0
"Dude Solutions",0.0
"Dunzo",0.0
"DUX Education",0.0
"Earth Rides",0.0
"Editas Medicine",0.0
"Edmodo",0.0
"Eight Sleep",0.0
"Elastic",0.0
"Element",0.0
"Elliptic",0.0
"Engine eCommerce",0.0
"Esper",0.0
"Fandom",0.0
"Fast",0.0
"Faze Medicines",0.0
"Finder",0.0
"Fipola",0.0
"Firework",0.0
"Fivetran",0.0
"Flowhub",0.0
"Flowr",0.0
"Flux Systems",0.0
"Foresight Insurance",0.0
"Frequency Therapeutics",0.0
"Frubana",0.0
"FullStory",0.0
"Gatherly",0.0
"Gavelytics",0.0
"GitHub",0.0
"GloriFi",0.0
"GoMechanic",0.0
"GoNuts",0.0
"GoodGood",0.0
"Grove Collaborative",0.0
"Guidewire",0.0
"HackerEarth",0.0
"Halcyon Health",0.0
"Haus",0.0
"Hipcamp",0.0
"HomeLight",0.0
"Homeward",0.0
"HubHaus",0.0
"Ignite",0.0
"Ignition",0.0
"Impact.com",0.0
"Improbable",0.0
"Jellyfish",0.0
"Jounce Therapeutics",0.0
"Juniper Square",0.0
"Kandela",0.0
"Kandji",0.0
"Kaodim",0.0
"Karbon",0.0
"Kazoo",0.0
"Kite",0.0
"Kune",0.0
"Lantern",0.0
"Le Tote",0.0
"Lido Learning",0.0
"Life360",0.0
"Limeade",0.0
"LiveRamp",0.0
"LiveVox",0.0
"Locomation",0.0
"Lora DiCarlo",0.0
"Lucid Diagnostics",0.0
"Lumina Networks",0.0
"Made.com",0.0
"Madefire",0.0
"Magnite",0.0
"MariaDB",0.0
"Masse",0.0
"Match Group",0.0
"Medium",0.0
"Medly",0.0
"Memmo",0.0
"MeridianLink",0.0
"MessageBird",0.0
"Messari",0.0
"Migo",0.0
"Milkrun",0.0
"Mode Global",0.0
"Modern Treasury",0.0
"Mojo Vision",0.0
"Morning Brew",0.0
"Motif Investing",0.0
"Mr. Yum",0.0
"Mudafy",0.0
"Mythical Games",0.0
"NanoString",0.0
"National Instruments",0.0
"Nativo",0.0
"NCSoft",0.0
"NCX",0.0
"Nearmap",0.0
"Nerdy",0.0
"Nextiva",0.0
"NextRoll",0.0
"Nirvana Money",0.0
"Nomad",0.0
"Nova Benefits",0.0
"Nyriad",0.0
"Octopus Network",0.0
"Offerpad",0.0
"OfferUp",0.0
"OneStudyTeam",0.0
"OPay",0.0
"OpenSea",0.0
"OpenText",0.0
"Ouster",0.0
"Ozy Media",0.0
"Paddle",0.0
"PagerDuty",0.0
"PagSeguro",0.0
"Papa",0.0
"Pastel",0.0
"Pebblepost",0.0
"Peerfit",0.0
"Perceptive Automata",0.0
"Personalis",0.0
"Pesto",0.0
"PhableCare",0.0
"PicoBrew",0.0
"Plerk",0.0
"Plus One Robotics",0.0
"Podium",0.0
"Popin",0.0
"Poshmark",0.0
"Prime Trust",0.0
"Prisma",0.0
"Propzy",0.0
"Prosus",0.0
"Protego Trust Bank",0.0
"Purse",0.0
"Qin1",0.0
"Quantum SI",0.0
"Quibi",0.0
"Qwick",0.0
"Reach",0.0
"Rebel Foods",0.0
"Redbubble",0.0
"RedDoorz",0.0
"Rent the Runway",0.0
"Rigetti Computing",0.0
"Ro",0.0
"Roofstock",0.0
"Rubica",0.0
"Rubicon Technologies",0.0
"SADA",0.0
"Sana",0.0
"Sana Benefits",0.0
"Sayurbox",0.0
"Scale AI",0.0
"Scoro",0.0
"SendCloud",0.0
"Sendoso",0.0
"Service",0.0
"Sezzle",0.0
"ShipBob",0.0
"ShopX",0.0
"Side",0.0
"Simple",0.0
"Snapdocs",0.0
"Solarisbank",0.0
"SonderMind",0.0
"Sorabel",0.0
"SoundCloud",0.0
"Springlane",0.0
"SQZ Biotech",0.0
"Starship",0.0
"Stockwell AI",0.0
"StoryBlocks",0.0
"Strava",0.0
"StyleSeat",0.0
"Subspace",0.0
"Sundae",0.0
"SuperLearn",0.0
"SuperRare",0.0
"SweetEscape",0.0
"Symend",0.0
"Synlogic",0.0
"Tackle",0.0
"Talis Biomedical",0.0
"Talkwalker",0.0
"Tesla",0.0
"The Modist",0.0
"Tray.io",0.0
"Tricida",0.0
"Truck It In",0.0
"Turntide",0.0
"TwinStrand",0.0
"Udemy",0.0
"Una Brands",0.0
"Unchained Capital",0.0
"Vanta",0.0
"Vedanta Biosciences",0.0
"Vendasta",0.0
"Vibrent Health",0.0
"Vicarious Surgical",0.0
"Vimeo",0.0
"Volt Bank",0.0
"Volta",0.0
"Voly",0.0
"Wallbox",0.0
"Wavely",0.0
"WeFit",0.0
"WeTrade",0.0
"Whispir",0.0
"WhyHotel",0.0
"Wyre",0.0
"Xendit",0.0
"Yabonza",0.0
"Yext",0.0
"YourGrocer",0.0
"Zapp",0.0
"Zappos",0.0
"ZenLedger",0.0
"Zepto",0.0
"Zhihu",0.0
"Ziroom",0.0
"Zola",0.0
"Zoomo",0.0
"Zuora",0.0
